Date,Open,High,Low,Close,Volume
1938-01-03,5.65,5.75,5.59,5.63,0
1938-01-04,5.75,5.91,5.75,5.88,0
1938-01-05,5.84,5.97,5.83,5.85,0
1938-01-06,5.94,6.12,5.94,6.11,0
1938-01-07,6.1,6.12,6.02,6.06,0
1938-01-08,6.12,6.24,6.12,6.22,0
1938-01-10,6.22,6.39,6.22,6.35,0
1938-01-11,6.36,6.41,6.3,6.4,0
1938-01-12,6.39,6.42,6.32,6.34,0
1938-01-13,6.32,6.33,6.23,6.25,0
1938-01-14,6.25,6.29,6.19,6.26,0
1938-01-15,6.26,6.4,6.26,6.37,0
1938-01-17,6.33,6.34,6.23,6.24,0
1938-01-18,6.23,6.25,6.15,6.18,0
1938-01-19,6.19,6.2,6.06,6.12,0
1938-01-20,6.14,6.25,6.14,6.24,0
1938-01-21,6.19,6.24,6.11,6.12,0
1938-01-22,6.12,6.12,6.08,6.1,0
1938-01-24,6.1,6.12,6.06,6.09,0
1938-01-25,6.05,6.05,5.98,6,0
1938-01-26,5.9,5.9,5.71,5.77,0
1938-01-27,5.76,5.82,5.63,5.69,0
1938-01-28,5.68,5.71,5.55,5.64,0
1938-01-29,5.64,5.68,5.6,5.62,0
1938-01-31,5.63,5.73,5.63,5.71,0
1938-02-01,5.76,5.85,5.76,5.82,0
1938-02-02,5.78,5.83,5.72,5.74,0
1938-02-03,5.66,5.66,5.49,5.52,0
1938-02-04,5.54,5.65,5.47,5.63,0
1938-02-05,5.65,5.77,5.65,5.75,0
1938-02-07,5.71,5.73,5.62,5.64,0
1938-02-08,5.72,5.88,5.72,5.86,0
1938-02-09,5.84,5.91,5.8,5.82,0
1938-02-10,5.84,5.94,5.82,5.86,0
1938-02-11,5.86,5.91,5.82,5.84,0
1938-02-14,5.84,5.9,5.84,5.88,0
1938-02-15,5.87,5.91,5.8,5.81,0
1938-02-16,5.8,5.82,5.73,5.8,0
1938-02-17,5.83,5.99,5.83,5.95,0
1938-02-18,5.94,5.99,5.85,5.88,0
1938-02-19,5.92,5.98,5.92,5.97,0
1938-02-21,5.98,6.11,5.98,6.07,0
1938-02-23,6.15,6.25,6.15,6.23,0
1938-02-24,6.2,6.2,6.12,6.14,0
1938-02-25,6.14,6.23,6.09,6.17,0
1938-02-26,6.17,6.18,6.14,6.16,0
1938-02-28,6.11,6.11,6,6.05,0
1938-03-01,6.07,6.13,6.03,6.11,0
1938-03-02,6.11,6.11,6.04,6.05,0
1938-03-03,6.02,6.02,5.96,5.99,0
1938-03-04,5.95,6.02,5.92,5.93,0
1938-03-05,5.93,5.95,5.91,5.93,0
1938-03-07,5.9,5.9,5.79,5.8,0
1938-03-08,5.8,5.83,5.68,5.8,0
1938-03-09,5.79,5.86,5.75,5.8,0
1938-03-10,5.79,5.82,5.73,5.74,0
1938-03-11,5.71,5.71,5.62,5.64,0
1938-03-12,5.64,5.67,5.62,5.65,0
1938-03-14,5.71,5.78,5.71,5.74,0
1938-03-15,5.79,5.93,5.79,5.92,0
1938-03-16,5.81,5.81,5.61,5.66,0
1938-03-17,5.65,5.73,5.6,5.61,0
1938-03-18,5.59,5.59,5.38,5.43,0
1938-03-19,5.51,5.57,5.51,5.54,0
1938-03-21,5.53,5.63,5.52,5.53,0
1938-03-22,5.5,5.51,5.33,5.36,0
1938-03-23,5.33,5.33,5.18,5.25,0
1938-03-24,5.25,5.33,5.18,5.27,0
1938-03-25,5.24,5.24,4.96,4.98,0
1938-03-26,4.99,5.03,4.88,4.9,0
1938-03-28,4.9,4.99,4.86,4.93,0
1938-03-29,4.83,4.83,4.63,4.65,0
1938-03-30,4.63,4.72,4.55,4.59,0
1938-03-31,4.61,4.7,4.45,4.52,0
1938-04-01,4.65,4.76,4.65,4.74,0
1938-04-02,4.86,4.97,4.86,4.93,0
1938-04-04,4.94,4.97,4.86,4.92,0
1938-04-05,4.92,5.06,4.88,5.04,0
1938-04-06,5,5,4.9,4.93,0
1938-04-07,4.94,4.96,4.87,4.89,0
1938-04-08,4.99,5.14,4.99,5.12,0
1938-04-09,5.35,5.48,5.35,5.46,0
1938-04-11,5.4,5.42,5.27,5.29,0
1938-04-12,5.3,5.36,5.24,5.34,0
1938-04-13,5.32,5.43,5.32,5.37,0
1938-04-14,5.33,5.46,5.27,5.42,0
1938-04-16,5.53,5.67,5.53,5.64,0
1938-04-18,5.62,5.65,5.51,5.53,0
1938-04-19,5.47,5.47,5.36,5.37,0
1938-04-20,5.37,5.37,5.23,5.35,0
1938-04-21,5.38,5.42,5.34,5.4,0
1938-04-22,5.42,5.61,5.42,5.55,0
1938-04-23,5.55,5.58,5.5,5.51,0
1938-04-25,5.46,5.46,5.39,5.42,0
1938-04-26,5.38,5.38,5.28,5.29,0
1938-04-27,5.33,5.4,5.33,5.35,0
1938-04-28,5.32,5.32,5.17,5.19,0
1938-04-29,5.2,5.2,5.1,5.19,0
1938-04-30,5.17,5.18,5.14,5.15,0
1938-05-02,5.11,5.11,5.06,5.09,0
1938-05-03,5.14,5.25,5.14,5.23,0
1938-05-04,5.26,5.33,5.21,5.31,0
1938-05-05,5.31,5.38,5.27,5.29,0
1938-05-06,5.36,5.55,5.35,5.54,0
1938-05-07,5.52,5.56,5.49,5.52,0
1938-05-09,5.54,5.66,5.5,5.64,0
1938-05-10,5.6,5.65,5.53,5.54,0
1938-05-11,5.54,5.62,5.53,5.57,0
1938-05-12,5.53,5.59,5.5,5.53,0
1938-05-13,5.51,5.51,5.42,5.44,0
1938-05-14,5.44,5.46,5.42,5.45,0
1938-05-16,5.43,5.43,5.34,5.35,0
1938-05-17,5.33,5.39,5.3,5.38,0
1938-05-18,5.39,5.44,5.38,5.42,0
1938-05-19,5.44,5.45,5.34,5.36,0
1938-05-20,5.3,5.3,5.24,5.28,0
1938-05-21,5.26,5.26,5.2,5.21,0
1938-05-23,5.21,5.26,5.19,5.24,0
1938-05-24,5.22,5.25,5.14,5.15,0
1938-05-25,5.13,5.13,5.05,5.06,0
1938-05-26,5.03,5.06,4.91,4.92,0
1938-05-27,4.93,4.94,4.84,4.92,0
1938-05-28,4.96,5.01,4.96,4.98,0
1938-05-31,4.95,4.95,4.88,4.91,0
1938-06-01,4.94,5.09,4.93,5.07,0
1938-06-02,5.05,5.11,5.04,5.05,0
1938-06-03,5.03,5.03,4.97,4.99,0
1938-06-04,5.03,5.13,5.03,5.11,0
1938-06-06,5.11,5.21,5.11,5.16,0
1938-06-07,5.14,5.2,5.12,5.14,0
1938-06-08,5.12,5.16,5.11,5.15,0
1938-06-09,5.18,5.28,5.18,5.26,0
1938-06-10,5.24,5.26,5.18,5.19,0
1938-06-11,5.19,5.19,5.17,5.17,0
1938-06-13,5.11,5.11,5.03,5.04,0
1938-06-14,5.05,5.11,5.04,5.1,0
1938-06-15,5.1,5.17,5.1,5.12,0
1938-06-16,5.13,5.18,5.12,5.17,0
1938-06-17,5.16,5.18,5.1,5.12,0
1938-06-18,5.11,5.13,5.11,5.12,0
