Date,^spx_d,^shc_d,^hsi_d,^ndq_d,^dji_d,^nkx_d
1900-01-02,6.69,,,,49.34,
1900-01-03,6.56,,,,48.24,
1900-01-04,6.61,,,,48.63,
1900-01-05,6.59,,,,48.31,
1900-01-06,6.55,,,,,
1900-01-08,6.53,,,,48.1,
1900-01-09,6.44,,,,47.07,
1900-01-10,6.42,,,,46.45,
1900-01-11,6.37,,,,45.82,
1900-01-12,6.49,,,,47.03,
1900-01-13,6.48,,,,,
1900-01-15,6.43,,,,46.51,
1900-01-16,6.45,,,,46.56,
1900-01-17,6.47,,,,46.76,
1900-01-18,6.46,,,,46.55,
1900-01-19,6.54,,,,47.29,
1900-01-20,6.52,,,,,
1900-01-22,6.55,,,,47.34,
1900-01-23,6.46,,,,46.63,
1900-01-24,6.5,,,,46.87,
1900-01-25,6.53,,,,47.11,
1900-01-26,6.46,,,,46.52,
1900-01-27,6.46,,,,,
1900-01-29,6.46,,,,46.68,
1900-01-30,6.57,,,,47.84,
1900-01-31,6.58,,,,47.89,
1900-02-01,6.63,,,,48.77,
1900-02-02,6.68,,,,49.15,
1900-02-03,6.68,,,,,
1900-02-05,6.75,,,,49.51,
1900-02-06,6.78,,,,49.27,
1900-02-07,6.76,,,,49.21,
1900-02-08,6.71,,,,48.86,
1900-02-09,6.67,,,,48.42,
1900-02-10,6.64,,,,,
1900-02-13,6.71,,,,48.81,
1900-02-14,6.69,,,,48.45,
1900-02-15,6.7,,,,48.58,
1900-02-16,6.65,,,,48.09,
1900-02-17,6.61,,,,,
1900-02-19,6.65,,,,47.98,
1900-02-20,6.65,,,,47.92,
1900-02-21,6.62,,,,47.5,
1900-02-23,6.56,,,,46.73,
1900-02-24,6.52,,,,,
1900-02-26,6.5,,,,46.03,
1900-02-27,6.49,,,,45.88,
1900-02-28,6.55,,,,46.32,
1900-03-01,6.52,,,,46.05,
1900-03-02,6.43,,,,44.87,
1900-03-03,6.47,,,,,
1900-03-05,6.45,,,,44.99,
1900-03-06,6.43,,,,44.81,
1900-03-07,6.43,,,,44.78,
1900-03-08,6.4,,,,44.46,
1900-03-09,6.39,,,,44.26,
1900-03-10,6.45,,,,,
1900-03-12,6.54,,,,45.85,
1900-03-13,6.53,,,,45.54,
1900-03-14,6.48,,,,44.93,
1900-03-15,6.47,,,,44.77,
1900-03-16,6.46,,,,44.84,
1900-03-17,6.49,,,,,
1900-03-19,6.51,,,,45.56,
1900-03-20,6.58,,,,45.95,
1900-03-21,6.62,,,,46.41,
1900-03-22,6.66,,,,46.4,
1900-03-23,6.62,,,,46.11,
1900-03-24,6.68,,,,,
1900-03-26,6.7,,,,46.4,
1900-03-27,6.73,,,,46.87,
1900-03-28,6.78,,,,47.16,
1900-03-29,6.73,,,,46.4,
1900-03-30,6.78,,,,47.36,
1900-03-31,6.82,,,,,
1900-04-02,6.79,,,,47.47,
1900-04-03,6.79,,,,47.2,
1900-04-04,6.8,,,,47.16,
1900-04-05,6.79,,,,47.42,
1900-04-06,6.82,,,,47.91,
1900-04-07,6.85,,,,,
1900-04-09,6.81,,,,47.41,
1900-04-10,6.74,,,,46.75,
1900-04-11,6.75,,,,46.92,
1900-04-12,6.77,,,,46.64,
1900-04-16,6.62,,,,44.58,
1900-04-17,6.6,,,,44.76,
1900-04-18,6.6,,,,44.77,
1900-04-19,6.62,,,,45.18,
1900-04-20,6.64,,,,45.05,
1900-04-21,6.52,,,,,
1900-04-23,6.53,,,,44.32,
1900-04-24,6.53,,,,44.68,
1900-04-25,6.55,,,,44.82,
1900-04-26,6.63,,,,45.66,
1900-04-27,6.58,,,,45.08,
1900-04-28,6.55,,,,,
1900-04-30,6.5,,,,44.42,
1900-05-01,6.51,,,,44.41,
1900-05-02,6.47,,,,44.22,
1900-05-03,6.49,,,,44.19,
1900-05-04,6.5,,,,44.31,
1900-05-05,6.51,,,,,
1900-05-07,6.46,,,,43.9,
1900-05-08,6.33,,,,42.92,
1900-05-09,6.34,,,,43.41,
1900-05-10,6.38,,,,43.53,
1900-05-11,6.27,,,,42.46,
1900-05-12,6.23,,,,,
1900-05-14,6.23,,,,41.68,
1900-05-15,6.22,,,,41.01,
1900-05-16,6.28,,,,41.37,
1900-05-17,6.26,,,,41.11,
1900-05-18,6.33,,,,41.83,
1900-05-19,6.37,,,,,
1900-05-21,6.29,,,,41.57,
1900-05-22,6.32,,,,42.08,
1900-05-23,6.33,,,,42.26,
1900-05-24,6.28,,,,41.65,
1900-05-25,6.27,,,,41.47,
1900-05-26,6.28,,,,,
1900-05-28,6.28,,,,41.77,
1900-05-29,6.32,,,,42.01,
1900-05-31,6.41,,,,42.8,
1900-06-01,6.46,,,,43.01,
1900-06-02,6.43,,,,,
1900-06-04,6.34,,,,41.98,
1900-06-05,6.32,,,,41.63,
1900-06-06,6.27,,,,41.27,
1900-06-07,6.29,,,,41.69,
1900-06-08,6.22,,,,41.01,
1900-06-09,6.2,,,,,
1900-06-11,6.17,,,,40.58,
1900-06-12,6.19,,,,40.67,
1900-06-13,6.25,,,,41.37,
1900-06-14,6.2,,,,40.93,
1900-06-15,6.17,,,,40.68,
1900-06-16,6.07,,,,,
1900-06-18,6.04,,,,39.8,
1900-06-19,6.03,,,,39.89,
1900-06-20,5.98,,,,39.39,
1900-06-21,6.0,,,,39.58,
1900-06-22,5.95,,,,39.19,
1900-06-23,5.88,,,,,
1900-06-25,5.9,,,,38.88,
1900-06-26,5.94,,,,39.11,
1900-06-27,5.92,,,,39.19,
1900-06-28,6.01,,,,39.65,
1900-06-29,6.0,,,,39.71,
1900-06-30,6.01,,,,,
1900-07-02,6.07,,,,40.18,
1900-07-03,6.07,,,,40.32,
1900-07-05,6.13,,,,40.93,
1900-07-06,6.08,,,,40.65,
1900-07-07,6.07,,,,,
1900-07-09,6.06,,,,40.38,
1900-07-10,6.15,,,,41.22,
1900-07-11,6.18,,,,41.12,
1900-07-12,6.17,,,,41.07,
1900-07-13,6.09,,,,40.54,
1900-07-14,6.09,,,,,
1900-07-16,6.11,,,,40.72,
1900-07-17,6.16,,,,41.1,
1900-07-18,6.14,,,,41.0,
1900-07-19,6.17,,,,41.48,
1900-07-20,6.23,,,,42.26,
1900-07-21,6.24,,,,,
1900-07-23,6.31,,,,42.75,
1900-07-24,6.25,,,,42.26,
1900-07-25,6.23,,,,42.14,
1900-07-26,6.2,,,,41.96,
1900-07-27,6.23,,,,42.03,
1900-07-28,6.21,,,,,
1900-07-30,6.15,,,,41.38,
1900-07-31,6.15,,,,41.14,
1900-08-01,6.18,,,,41.33,
1900-08-02,6.19,,,,41.43,
1900-08-03,6.21,,,,41.49,
1900-08-04,6.23,,,,,
1900-08-06,6.21,,,,41.7,
1900-08-07,6.21,,,,41.8,
1900-08-08,6.21,,,,41.92,
1900-08-09,6.21,,,,41.82,
1900-08-10,6.24,,,,42.01,
1900-08-11,6.24,,,,,
1900-08-13,6.29,,,,42.37,
1900-08-14,6.32,,,,42.56,
1900-08-15,6.34,,,,42.66,
1900-08-16,6.31,,,,42.63,
1900-08-17,6.32,,,,42.61,
1900-08-18,6.3,,,,,
1900-08-20,6.29,,,,42.59,
1900-08-21,6.29,,,,42.4,
1900-08-22,6.3,,,,42.48,
1900-08-23,6.28,,,,42.31,
1900-08-24,6.27,,,,42.22,
1900-08-25,6.25,,,,,
1900-08-27,6.24,,,,42.17,
1900-08-28,6.22,,,,41.85,
1900-08-29,6.27,,,,42.32,
1900-08-30,6.27,,,,42.29,
1900-08-31,6.25,,,,41.87,
1900-09-04,6.27,,,,42.4,
1900-09-05,6.29,,,,42.43,
1900-09-06,6.29,,,,42.37,
1900-09-07,6.28,,,,42.24,
1900-09-08,6.25,,,,,
1900-09-10,6.27,,,,42.06,
1900-09-11,6.27,,,,42.08,
1900-09-12,6.28,,,,42.19,
1900-09-13,6.26,,,,42.15,
1900-09-14,6.2,,,,41.62,
1900-09-15,6.11,,,,,
1900-09-17,6.13,,,,41.04,
1900-09-18,6.14,,,,41.01,
1900-09-19,6.06,,,,40.29,
1900-09-20,5.97,,,,39.38,
1900-09-21,5.98,,,,39.38,
1900-09-22,5.92,,,,,
1900-09-24,5.9,,,,38.36,
1900-09-25,5.94,,,,38.48,
1900-09-26,5.95,,,,38.57,
1900-09-27,6.06,,,,39.49,
1900-09-28,6.0,,,,39.21,
1900-09-29,6.03,,,,,
1900-10-01,6.09,,,,39.8,
1900-10-02,6.07,,,,39.49,
1900-10-03,6.13,,,,39.65,
1900-10-04,6.15,,,,40.04,
1900-10-05,6.17,,,,40.34,
1900-10-06,6.15,,,,,
1900-10-08,6.11,,,,40.11,
1900-10-09,6.13,,,,40.2,
1900-10-10,6.1,,,,39.76,
1900-10-11,6.11,,,,40.08,
1900-10-12,6.17,,,,40.62,
1900-10-13,6.19,,,,,
1900-10-15,6.32,,,,41.93,
1900-10-16,6.32,,,,41.88,
1900-10-17,6.32,,,,41.93,
1900-10-18,6.35,,,,42.34,
1900-10-19,6.4,,,,42.54,
1900-10-20,6.46,,,,,
1900-10-22,6.52,,,,43.91,
1900-10-23,6.51,,,,44.03,
1900-10-24,6.53,,,,44.03,
1900-10-25,6.52,,,,43.92,
1900-10-26,6.53,,,,43.82,
1900-10-27,6.49,,,,,
1900-10-29,6.43,,,,42.96,
1900-10-30,6.46,,,,43.11,
1900-10-31,6.43,,,,42.76,
1900-11-01,6.44,,,,42.86,
1900-11-02,6.45,,,,43.01,
1900-11-03,6.48,,,,,
1900-11-05,6.58,,,,44.09,
1900-11-07,6.74,,,,45.56,
1900-11-08,6.81,,,,46.18,
1900-11-09,6.89,,,,47.18,
1900-11-10,6.94,,,,,
1900-11-12,6.99,,,,48.76,
1900-11-13,6.9,,,,47.6,
1900-11-14,6.95,,,,47.97,
1900-11-15,7.02,,,,48.39,
1900-11-16,7.14,,,,49.39,
1900-11-17,7.19,,,,,
1900-11-19,7.16,,,,49.89,
1900-11-20,7.22,,,,50.02,
1900-11-21,7.24,,,,49.95,
1900-11-22,7.24,,,,49.55,
1900-11-23,7.1,,,,48.47,
1900-11-24,7.12,,,,,
1900-11-26,7.19,,,,48.69,
1900-11-27,7.18,,,,48.53,
1900-11-28,7.16,,,,48.23,
1900-11-30,7.2,,,,48.23,
1900-12-01,7.18,,,,,
1900-12-03,7.18,,,,48.11,
1900-12-04,7.09,,,,47.38,
1900-12-05,7.13,,,,47.84,
1900-12-06,7.09,,,,47.13,
1900-12-07,7.03,,,,46.48,
1900-12-08,7.02,,,,,
1900-12-10,7.07,,,,46.82,
1900-12-11,7.15,,,,47.47,
1900-12-12,7.15,,,,47.4,
1900-12-13,7.11,,,,47.0,
1900-12-14,7.19,,,,47.47,
1900-12-15,7.25,,,,,
1900-12-17,7.28,,,,47.58,
1900-12-18,7.29,,,,48.18,
1900-12-19,7.34,,,,48.66,
1900-12-20,7.37,,,,48.8,
1900-12-21,7.46,,,,49.71,
1900-12-22,7.55,,,,,
1900-12-26,7.61,,,,51.31,
1900-12-27,7.63,,,,51.45,
1900-12-28,7.59,,,,50.55,
1900-12-29,7.64,,,,,
1900-12-31,7.68,,,,51.21,
1901-01-02,7.66,,,,51.02,
1901-01-03,7.46,,,,49.23,
1901-01-04,7.67,,,,50.21,
1901-01-05,7.61,,,,,
1901-01-07,7.64,,,,48.61,
1901-01-08,7.66,,,,49.0,
1901-01-09,7.68,,,,48.91,
1901-01-10,7.66,,,,49.17,
1901-01-11,7.71,,,,49.14,
1901-01-12,7.73,,,,,
1901-01-14,7.67,,,,48.71,
1901-01-15,7.62,,,,48.16,
1901-01-16,7.57,,,,47.59,
1901-01-17,7.53,,,,47.29,
1901-01-18,7.48,,,,47.23,
1901-01-19,7.4,,,,,
1901-01-21,7.44,,,,47.02,
1901-01-22,7.5,,,,47.46,
1901-01-23,7.54,,,,48.07,
1901-01-24,7.45,,,,47.55,
1901-01-25,7.52,,,,47.92,
1901-01-26,7.59,,,,,
1901-01-28,7.57,,,,48.01,
1901-01-29,7.58,,,,48.21,
1901-01-30,7.61,,,,48.32,
1901-01-31,7.67,,,,48.39,
1901-02-01,7.73,,,,49.04,
1901-02-04,7.82,,,,49.58,
1901-02-05,7.88,,,,50.17,
1901-02-06,7.92,,,,50.62,
1901-02-07,7.86,,,,50.21,
1901-02-08,7.89,,,,50.55,
1901-02-09,7.89,,,,,
1901-02-11,7.9,,,,51.05,
1901-02-13,7.8,,,,50.3,
1901-02-14,7.86,,,,51.15,
1901-02-15,7.92,,,,51.26,
1901-02-16,7.88,,,,,
1901-02-18,7.79,,,,49.92,
1901-02-19,7.75,,,,49.52,
1901-02-20,7.71,,,,49.22,
1901-02-21,7.74,,,,49.65,
1901-02-25,7.73,,,,49.44,
1901-02-26,7.72,,,,48.79,
1901-02-27,7.75,,,,49.33,
1901-02-28,7.69,,,,48.52,
1901-03-01,7.74,,,,49.08,
1901-03-02,7.74,,,,,
1901-03-04,7.78,,,,48.94,
1901-03-05,7.79,,,,48.78,
1901-03-06,7.81,,,,48.81,
1901-03-07,7.82,,,,49.05,
1901-03-08,7.82,,,,48.92,
1901-03-09,7.82,,,,,
1901-03-11,7.83,,,,48.87,
1901-03-12,7.83,,,,48.73,
1901-03-13,7.85,,,,48.66,
1901-03-14,7.87,,,,48.92,
1901-03-15,7.88,,,,48.76,
1901-03-16,7.93,,,,,
1901-03-18,8.03,,,,49.55,
1901-03-19,8.05,,,,49.78,
1901-03-20,8.04,,,,49.84,
1901-03-21,8.06,,,,49.92,
1901-03-22,8.07,,,,49.92,
1901-03-23,8.08,,,,,
1901-03-25,8.03,,,,49.68,
1901-03-26,8.05,,,,49.63,
